,Unnamed: 0,LineText,Intersection_Words,Intersection_count,Head_tail,Relations
0,1,from fairest creatures we desire increase ,increase|desire,2,"('desire', 'increase')","['sweet', 'solid', 'strong', 'murky', 'weak', 'heavy', 'soft', 'warm', 'bright', 'smooth']"
1,6,feed st thy light s flame with self substantial fuel ,feed|light,2,"('feed', 'light')","['soft', 'murky', 'cold', 'weak', 'rough', 'solid', 'bitter', 'shallow', 'clear', 'strong']"
2,9,thou that art now the world s fresh ornament ,art|world,2,"('art', 'world')","['heavy', 'strong', 'icy', 'clear', 'bitter', 'weak', 'bright', 'smooth', 'murky', 'clean']"
3,25,if thou couldst answer  this fair child of mine,answer|child,2,"('answer', 'child')","['shallow', 'rough', 'strong', 'cold', 'bright', 'warm', 'clear', 'murky', 'weak', 'clean']"
4,29,    and see thy blood warm when thou feel st it cold ,cold|feel|blood,3,,
5,32,now is the time that face should form another ,form|time,2,"('time', 'form')","['strong', 'solid', 'heavy', 'heated', 'warm', 'dim', 'clear', 'weak', 'bright', 'bitter']"
6,34,thou dost beguile the world  unbless some mother ,mother|world,2,"('world', 'mother')","['rough', 'warm', 'brilliant', 'shallow', 'strong', 'cold', 'bitter', 'murky', 'heavy', 'bright']"
7,39,thou art thy mother s glass and she in thee,art|mother,2,"('art', 'mother')","['bitter', 'heavy', 'strong', 'bright', 'clear', 'murky', 'icy', 'rough', 'shallow', 'weak']"
8,92,lifts up his burning head  each under eye,head|eye,2,"('head', 'eye')","['dense', 'rough', 'solid', 'soft', 'murky', 'bitter', 'bright', 'warm', 'strong', 'brilliant']"
9,116,resembling sire and child and happy mother ,mother|child,2,"('child', 'mother')","['clear', 'bitter', 'heavy', 'brilliant', 'strong', 'weak', 'clean', 'shallow', 'warm', 'rough']"
10,128,by children s eyes  her husband s shape in mind ,mind|shape,2,"('shape', 'mind')","['strong', 'heavy', 'murky', 'bright', 'bitter', 'warm', 'clear', 'brilliant', 'rough', 'cold']"
11,129,look  what an unthrift in the world doth spend,look|world,2,"('look', 'world')","['bitter', 'clear', 'bright', 'brilliant', 'strong', 'clean', 'murky', 'heavy', 'rough', 'weak']"
12,144,o  change thy thought  that i may change my mind ,mind|change,2,"('change', 'mind')","['clear', 'rough', 'soft', 'brilliant', 'cold', 'shallow', 'strong', 'bitter', 'weak', 'warm']"
13,154,thou mayst call thine when thou from youth convertest ,call|youth,2,"('call', 'youth')","['cold', 'warm', 'bright', 'shallow', 'brilliant', 'soft', 'murky', 'rough', 'heavy', 'strong']"
14,166,when i do count the clock that tells the time ,count|time,2,"('count', 'time')","['strong', 'clear', 'weak', 'brilliant', 'bright', 'clean', 'murky', 'shallow', 'warm', 'soft']"
15,167,and see the brave day sunk in hideous night ,night|day,2,"('day', 'night')","['smooth', 'icy', 'fat', 'mad', 'weak', 'clear', 'clean', 'solid', 'bright', 'strong']"
16,178,    and nothing  gainst time s scythe can make defence,defence|time,2,"('time', 'defence')","['heavy', 'strong', 'bright', 'clear', 'bitter', 'warm', 'clean', 'heated', 'soft', 'brilliant']"
17,188,when your sweet issue your sweet form should bear ,issue|form,2,"('issue', 'form')","['strong', 'solid', 'murky', 'brilliant', 'heavy', 'clear', 'bright', 'dim', 'weak', 'warm']"
18,189,who lets so fair a house fall to decay ,house|fall,2,"('house', 'fall')","['clean', 'rough', 'bright', 'soft', 'strong', 'warm', 'cold', 'murky', 'weak', 'smooth']"
19,192,and barren rage of death s eternal cold ,death|cold,2,"('death', 'cold')","['clear', 'shallow', 'bitter', 'heavy', 'heated', 'brilliant', 'soft', 'rough', 'solid', 'bright']"
20,201,pointing to each his thunder  rain and wind ,wind|rain,2,"('rain', 'wind')","['rough', 'icy', 'clear', 'sweet', 'bitter', 'brilliant', 'cold', 'heated', 'clean', 'weak']"
21,205,and constant stars in them i read such art,art|read,2,"('read', 'art')","['awesome', 'cold', 'brilliant', 'clear', 'warm', 'sweet', 'shallow', 'weak', 'deep', 'clean']"
22,222,to change your day of youth to sullied night ,night|day|change|youth,4,,
23,223,    and all in war with time for love of you ,love|time,2,"('time', 'love')","['soft', 'strong', 'shallow', 'solid', 'bright', 'clean', 'clear', 'weak', 'murky', 'heavy']"
24,230,now stand you on the top of happy hours ,top|stand,2,"('stand', 'top')","['smooth', 'clean', 'weak', 'murky', 'deep', 'strong', 'icy', 'mad', 'clear', 'shallow']"
25,235,which this  time s pencil  or my pupil pen ,pupil|time,2,"('time', 'pupil')","['clear', 'heavy', 'strong', 'clean', 'heated', 'shallow', 'warm', 'soft', 'weak', 'solid']"
26,251,and your true rights be term d a poet s rage,poet|term,2,"('term', 'poet')","['brilliant', 'clear', 'rough', 'solid', 'clean', 'cold', 'heavy', 'warm', 'shallow', 'bitter']"
27,253,    but were some child of yours alive that time ,time|child,2,"('child', 'time')","['rough', 'murky', 'brilliant', 'weak', 'clear', 'bitter', 'deep', 'strong', 'soft', 'cold']"
28,263,by chance  or nature s changing course untrimm d ,nature|course|chance,3,,
29,266,nor shall death brag thou wander st in his shade ,death|shade,2,"('death', 'shade')","['strong', 'shallow', 'clear', 'rough', 'weak', 'heavy', 'clean', 'bitter', 'solid', 'deep']"
30,274,and burn the long liv d phoenix  in her blood ,blood|burn,2,"('burn', 'blood')","['weak', 'murky', 'strong', 'fat', 'rough', 'clear', 'cold', 'heavy', 'bright', 'deep']"
31,286,a woman s face with nature s own hand painted ,woman|nature|hand,3,,
32,288,a woman s gentle heart  but not acquainted,woman|heart,2,"('woman', 'heart')","['rough', 'brilliant', 'strong', 'weak', 'solid', 'murky', 'cold', 'bitter', 'clear', 'bright']"
33,306,with sun and moon  with earth and sea s rich gems ,sun|sea,2,"('sun', 'sea')","['solid', 'fat', 'icy', 'sweet', 'heated', 'shallow', 'smooth', 'cold', 'warm', 'soft']"
34,311,as any mother s child  though not so bright,mother|child,2,"('mother', 'child')","['cold', 'soft', 'strong', 'weak', 'rough', 'bright', 'murky', 'warm', 'shallow', 'icy']"
35,312,as those gold candles fix d in heaven s air ,air|gold,2,"('gold', 'air')","['shiny', 'murky', 'sweet', 'shallow', 'cold', 'smooth', 'strong', 'bright', 'heavy', 'clear']"
36,314,    i will not praise that purpose not to sell ,sell|purpose,2,"('purpose', 'sell')","['cold', 'murky', 'weak', 'clear', 'strong', 'sweet', 'rough', 'bright', 'bitter', 'brilliant']"
37,319,then look i death my days should expiate ,death|look,2,"('look', 'death')","['murky', 'icy', 'bitter', 'brilliant', 'rough', 'weak', 'smooth', 'strong', 'clean', 'clear']"
38,331,as an unperfect actor on the stage ,stage|actor,2,"('actor', 'stage')","['brilliant', 'cold', 'bright', 'rough', 'fat', 'solid', 'bitter', 'murky', 'shallow', 'clear']"
39,334,whose strength s abundance weakens his own heart ,heart|strength,2,"('strength', 'heart')","['rough', 'brilliant', 'weak', 'murky', 'cold', 'bright', 'shallow', 'solid', 'bitter', 'clear']"
40,337,and in mine own love s strength seem to decay ,love|strength,2,"('love', 'strength')","['bitter', 'deep', 'clear', 'heavy', 'weak', 'brilliant', 'strong', 'clean', 'heated', 'cold']"
41,341,who plead for love  and look for recompense ,love|look,2,"('love', 'look')","['bitter', 'shallow', 'clear', 'weak', 'heavy', 'brilliant', 'deep', 'cold', 'heated', 'strong']"
42,343,    o  learn to read what silent love hath writ ,love|read,2,"('read', 'love')","['sweet', 'rough', 'strong', 'warm', 'cold', 'murky', 'clear', 'shallow', 'weak', 'solid']"
43,344,    to hear with eyes belongs to love s fine wit ,love|fine,2,"('love', 'fine')","['dim', 'bitter', 'heavy', 'solid', 'cold', 'weak', 'clear', 'shallow', 'murky', 'brilliant']"
44,346,mine eye hath play d the painter and hath stell d ,play|eye|painter,3,,
45,347,thy beauty s form in table of my heart ,table|form|heart,3,,
46,348,my body is the frame wherein  tis held ,body|frame,2,"('body', 'frame')","['solid', 'rough', 'heavy', 'weak', 'murky', 'brilliant', 'strong', 'warm', 'cold', 'shallow']"
47,349,and perspective it is best painter s art ,art|painter,2,"('painter', 'art')","['murky', 'brilliant', 'rough', 'solid', 'weak', 'smooth', 'cold', 'clear', 'strong', 'clean']"
48,350,for through the painter must you see his skill ,skill|painter,2,"('painter', 'skill')","['heavy', 'clear', 'strong', 'murky', 'brilliant', 'weak', 'solid', 'bitter', 'rough', 'clean']"
49,356,are windows to my breast  where through the sun,breast|sun,2,"('breast', 'sun')","['bright', 'bitter', 'clear', 'brilliant', 'heated', 'weak', 'shallow', 'clean', 'murky', 'strong']"
50,366,but as the marigold at the sun s eye ,eye|sun,2,"('sun', 'eye')","['rough', 'bitter', 'solid', 'fat', 'shallow', 'warm', 'strong', 'heavy', 'soft', 'weak']"
51,394,to work my mind  when body s work s expired ,mind|body,2,"('mind', 'body')","['smooth', 'clear', 'icy', 'strong', 'heavy', 'brilliant', 'shallow', 'bitter', 'weak', 'bright']"
52,400,presents thy shadow to my sightless view ,shadow|view,2,"('shadow', 'view')","['soft', 'strong', 'cold', 'solid', 'warm', 'brilliant', 'weak', 'rough', 'murky', 'shallow']"
53,403,    lo  thus  by day my limbs  by night my mind ,night|mind|day,3,,
54,408,when day s oppression is not eas d by night ,night|day,2,"('day', 'night')","['smooth', 'icy', 'fat', 'mad', 'weak', 'clear', 'clean', 'solid', 'bright', 'strong']"
55,409,but day by night and night by day oppress d ,night|day,2,"('day', 'night')","['smooth', 'icy', 'fat', 'mad', 'weak', 'clear', 'clean', 'solid', 'bright', 'strong']"
56,414,i tell the day  to please him thou art bright ,art|day,2,"('day', 'art')","['awesome', 'clean', 'warm', 'clear', 'brilliant', 'strong', 'shallow', 'weak', 'rough', 'murky']"
57,431,like to the lark at break of day arising,day|break,2,"('break', 'day')","['rough', 'cold', 'brilliant', 'soft', 'shallow', 'weak', 'bitter', 'bright', 'murky', 'solid']"
58,440,then can i drown an eye  unused to flow ,eye|flow,2,"('eye', 'flow')","['smooth', 'brilliant', 'sweet', 'bright', 'weak', 'clear', 'soft', 'strong', 'murky', 'rough']"
59,441,for precious friends hid in death s dateless night ,night|death,2,"('death', 'night')","['smooth', 'soft', 'bright', 'weak', 'strong', 'solid', 'warm', 'murky', 'clean', 'clear']"
60,456,hath dear religious love stol n from mine eye ,love|eye,2,"('love', 'eye')","['bitter', 'deep', 'strong', 'clear', 'solid', 'shallow', 'weak', 'rough', 'warm', 'brilliant']"
61,459,thou art the grave where buried love doth live ,art|love,2,"('art', 'love')","['murky', 'rough', 'heavy', 'bright', 'strong', 'smooth', 'fat', 'icy', 'weak', 'mad']"
62,467,when that churl death my bones with dust shall cover,cover|dust|death,3,,
63,470,compare them with the bett ring of the time ,ring|time,2,"('ring', 'time')","['rough', 'solid', 'brilliant', 'clear', 'cold', 'bright', 'murky', 'shallow', 'weak', 'strong']"
64,479,    theirs for their style i ll read  his for his love  ,style|love|read,3,,
65,482,flatter the mountain tops with sovereign eye ,eye|mountain,2,"('mountain', 'eye')","['warm', 'bright', 'clean', 'shallow', 'heavy', 'solid', 'brilliant', 'soft', 'bitter', 'strong']"
66,489,even so my sun one early morn did shine ,shine|sun,2,"('sun', 'shine')","['cold', 'rough', 'clear', 'warm', 'weak', 'shallow', 'smooth', 'solid', 'strong', 'icy']"
67,492,the region cloud hath mask d him from me now ,cloud|region,2,"('region', 'cloud')","['smooth', 'weak', 'strong', 'brilliant', 'soft', 'clear', 'rough', 'clean', 'bitter', 'heavy']"
68,494,    suns of the world may stain when heaven s sun staineth ,sun|world,2,"('sun', 'world')","['icy', 'clear', 'heavy', 'shallow', 'warm', 'soft', 'sweet', 'smooth', 'bitter', 'weak']"
69,500, tis not enough that through the cloud thou break ,cloud|break,2,"('cloud', 'break')","['clear', 'strong', 'solid', 'clean', 'brilliant', 'warm', 'sweet', 'heavy', 'bitter', 'bright']"
70,520,thy adverse party is thy advocate ,party|advocate,2,"('party', 'advocate')","['brilliant', 'cold', 'weak', 'shallow', 'strong', 'warm', 'clear', 'rough', 'murky', 'clean']"
71,532,which though it alter not love s sole effect ,love|effect,2,"('love', 'effect')","['bitter', 'cold', 'brilliant', 'solid', 'clear', 'rough', 'murky', 'weak', 'heated', 'strong']"
72,542,to see his active child do deeds of youth ,youth|child,2,"('child', 'youth')","['warm', 'cold', 'brilliant', 'shallow', 'rough', 'bitter', 'heavy', 'strong', 'murky', 'clear']"
73,576,and our dear love lose name of single one ,love|name,2,"('love', 'name')","['bitter', 'brilliant', 'dim', 'weak', 'cold', 'clean', 'heavy', 'murky', 'solid', 'heated']"
74,581,to entertain the time with thoughts of love ,love|time,2,"('time', 'love')","['soft', 'strong', 'shallow', 'solid', 'bright', 'clean', 'clear', 'weak', 'murky', 'heavy']"
75,588,no love  my love  that thou mayst true love call ,love|call,2,"('love', 'call')","['bitter', 'heated', 'clear', 'brilliant', 'weak', 'shallow', 'clean', 'strong', 'solid', 'deep']"
76,591,i cannot blame thee  for my love thou usest ,love|blame,2,"('blame', 'love')","['bright', 'strong', 'soft', 'rough', 'murky', 'clean', 'mad', 'smooth', 'clear', 'weak']"
77,604,for still temptation follows where thou art ,art|temptation,2,"('temptation', 'art')","['brilliant', 'weak', 'murky', 'soft', 'rough', 'clear', 'shallow', 'smooth', 'cold', 'clean']"
78,612,where thou art forced to break a twofold truth ,art|truth|break,3,,
79,619,a loss in love that touches me more nearly ,loss|love,2,"('loss', 'love')","['strong', 'soft', 'rough', 'mad', 'weak', 'fat', 'bright', 'warm', 'murky', 'clear']"
80,623,suffering my friend for my sake to approve her ,suffering|friend,2,"('suffering', 'friend')","['strong', 'clear', 'warm', 'bright', 'weak', 'heated', 'brilliant', 'shallow', 'bitter', 'cold']"
81,624,if i lose thee  my loss is my love s gain ,loss|love|gain,3,,
82,625,and losing her  my friend hath found that loss ,loss|friend,2,"('friend', 'loss')","['dim', 'brilliant', 'clean', 'heavy', 'smooth', 'rough', 'solid', 'weak', 'shallow', 'strong']"
83,632,for all the day they view things unrespected ,day|view,2,"('day', 'view')","['strong', 'warm', 'clean', 'solid', 'rough', 'heated', 'shallow', 'heavy', 'weak', 'bright']"
84,636,how would thy shadow s form form happy show,shadow|form,2,"('shadow', 'form')","['warm', 'solid', 'strong', 'cold', 'heated', 'clear', 'soft', 'rough', 'clean', 'brilliant']"
85,637,to the clear day with thy much clearer light ,day|light,2,"('day', 'light')","['strong', 'clean', 'rough', 'clear', 'weak', 'murky', 'warm', 'brilliant', 'soft', 'solid']"
86,640,by looking on thee in the living day ,living|day,2,"('living', 'day')","['cold', 'warm', 'soft', 'shallow', 'weak', 'brilliant', 'smooth', 'deep', 'strong', 'bright']"
87,641,when in dead night thy fair imperfect shade,night|shade,2,"('night', 'shade')","['bitter', 'strong', 'rough', 'cold', 'sweet', 'clear', 'clean', 'shallow', 'heavy', 'dim']"
88,650,no matter then although my foot did stand,matter|stand|foot,3,,
89,661,the other two  slight air  and purging fire,air|fire,2,"('air', 'fire')","['strong', 'clear', 'bitter', 'solid', 'rough', 'heavy', 'clean', 'weak', 'brilliant', 'murky']"
90,666,in tender embassy of love to thee ,love|embassy,2,"('embassy', 'love')","['smooth', 'murky', 'strong', 'rough', 'bright', 'weak', 'solid', 'icy', 'heavy', 'brilliant']"
91,676,mine eye and heart are at a mortal war ,eye|heart,2,"('eye', 'heart')","['rough', 'brilliant', 'clear', 'weak', 'strong', 'heavy', 'mad', 'smooth', 'cold', 'murky']"
92,678,mine eye my heart thy picture s sight would bar ,picture|eye|heart,3,,
93,679,my heart mine eye the freedom of that right ,freedom|eye|heart,3,,
94,680,my heart doth plead that thou in him dost lie ,heart|lie,2,"('heart', 'lie')","['soft', 'warm', 'murky', 'brilliant', 'icy', 'bright', 'clear', 'strong', 'bitter', 'heavy']"
95,687,the clear eye s moiety  and the dear heart s part ,eye|heart,2,"('eye', 'heart')","['rough', 'brilliant', 'clear', 'weak', 'strong', 'heavy', 'mad', 'smooth', 'cold', 'murky']"
96,689,    and my heart s right  thy inward love of heart ,love|heart,2,"('heart', 'love')","['icy', 'warm', 'strong', 'bright', 'clean', 'murky', 'rough', 'weak', 'shallow', 'soft']"
97,691,betwixt mine eye and heart a league is took ,eye|heart,2,"('eye', 'heart')","['rough', 'brilliant', 'clear', 'weak', 'strong', 'heavy', 'mad', 'smooth', 'cold', 'murky']"
98,693,when that mine eye is famish d for a look ,look|eye,2,"('eye', 'look')","['soft', 'cold', 'sweet', 'brilliant', 'smooth', 'heavy', 'heated', 'weak', 'strong', 'murky']"
99,694,or heart in love with sighs himself doth smother ,love|heart,2,"('heart', 'love')","['icy', 'warm', 'strong', 'bright', 'clean', 'murky', 'rough', 'weak', 'shallow', 'soft']"
100,695,with my love s picture then my eye doth feast ,love|eye|picture,3,,
101,697,another time mine eye is my heart s guest ,eye|heart|time,3,,
102,698,and in his thoughts of love doth share a part ,love|share,2,"('love', 'share')","['bitter', 'weak', 'clear', 'brilliant', 'deep', 'cold', 'strong', 'murky', 'clean', 'solid']"
103,699,so  either by thy picture or my love ,love|picture,2,"('picture', 'love')","['sweet', 'bright', 'strong', 'soft', 'rough', 'solid', 'murky', 'brilliant', 'clear', 'warm']"
104,704,    awakes my heart  to heart s and eye s delight ,eye|heart,2,"('heart', 'eye')","['bright', 'warm', 'shallow', 'solid', 'clean', 'strong', 'bitter', 'soft', 'murky', 'weak']"
105,715,save where thou art not  though i feel thou art ,art|feel,2,"('art', 'feel')","['rough', 'strong', 'icy', 'heavy', 'heated', 'solid', 'sour', 'smooth', 'clear', 'brilliant']"
106,716,within the gentle closure of my breast ,breast|closure,2,"('closure', 'breast')","['smooth', 'warm', 'icy', 'strong', 'soft', 'solid', 'weak', 'murky', 'rough', 'brilliant']"
107,723,when as thy love hath cast his utmost sum ,love|cast,2,"('love', 'cast')","['bitter', 'weak', 'clear', 'cold', 'deep', 'shallow', 'warm', 'sweet', 'strong', 'heavy']"
108,726,and scarcely greet me with that sun  thine eye ,eye|sun,2,"('sun', 'eye')","['rough', 'bitter', 'solid', 'fat', 'shallow', 'warm', 'strong', 'heavy', 'soft', 'weak']"
109,759,then can no horse with my desire keep pace ,desire|horse,2,"('horse', 'desire')","['brilliant', 'weak', 'clear', 'murky', 'shallow', 'bright', 'rough', 'strong', 'heated', 'cold']"
110,760,therefore desire  of perfect st love being made ,love|desire,2,"('desire', 'love')","['sweet', 'shallow', 'warm', 'weak', 'rough', 'smooth', 'strong', 'soft', 'bright', 'murky']"
111,814,than unswept stone  besmear d with sluttish time ,stone|time,2,"('stone', 'time')","['rough', 'brilliant', 'solid', 'cold', 'shallow', 'warm', 'mad', 'clear', 'strong', 'soft']"
112,817,nor mars his sword  nor war s quick fire shall burn,fire|burn,2,"('fire', 'burn')","['clean', 'brilliant', 'cold', 'shallow', 'warm', 'deep', 'bright', 'rough', 'soft', 'murky']"
113,826,sweet love  renew thy force  be it not said,love|force,2,"('love', 'force')","['bitter', 'clear', 'cold', 'shallow', 'deep', 'brilliant', 'clean', 'heavy', 'heated', 'warm']"
114,827,thy edge should blunter be than appetite ,appetite|edge,2,"('edge', 'appetite')","['bitter', 'icy', 'brilliant', 'clear', 'deep', 'cold', 'heavy', 'solid', 'bright', 'clean']"
115,830,so  love  be thou  although to day thou fill,love|day,2,"('love', 'day')","['bitter', 'brilliant', 'cold', 'deep', 'rough', 'clear', 'weak', 'murky', 'solid', 'heavy']"
116,833,the spirit of love  with a perpetual dulness ,love|spirit,2,"('spirit', 'love')","['deep', 'strong', 'soft', 'rough', 'weak', 'murky', 'bright', 'shallow', 'warm', 'clear']"
117,837,return of love  more blest may be the view ,love|return|view,3,,
118,838,    or call it winter  which being full of care ,call|care,2,"('call', 'care')","['icy', 'bright', 'brilliant', 'murky', 'clean', 'weak', 'warm', 'heavy', 'smooth', 'rough']"
119,858,or at your hand the account of hours to crave ,account|hand,2,"('hand', 'account')","['smooth', 'shallow', 'warm', 'deep', 'weak', 'soft', 'clean', 'strong', 'rough', 'cold']"
120,877,show me your image in some antique book ,book|image,2,"('image', 'book')","['strong', 'clear', 'weak', 'solid', 'shallow', 'rough', 'warm', 'heavy', 'murky', 'soft']"
121,878,since mind at first in character was done ,mind|character,2,"('mind', 'character')","['heavy', 'clear', 'brilliant', 'clean', 'rough', 'murky', 'strong', 'bitter', 'heated', 'dim']"
122,893,and time that gave doth now his gift confound ,gift|time,2,"('time', 'gift')","['strong', 'heated', 'weak', 'solid', 'soft', 'clear', 'heavy', 'brilliant', 'bitter', 'clean']"
123,894,time doth transfix the flourish set on youth,time|youth,2,"('time', 'youth')","['warm', 'heavy', 'solid', 'strong', 'shallow', 'cold', 'clear', 'brilliant', 'clean', 'bitter']"
124,896,feeds on the rarities of nature s truth ,nature|truth,2,"('nature', 'truth')","['sweet', 'brilliant', 'strong', 'shallow', 'clear', 'soft', 'rough', 'cold', 'bitter', 'weak']"
125,910,it is my love that keeps mine eye awake ,love|eye,2,"('love', 'eye')","['bitter', 'deep', 'strong', 'clear', 'solid', 'shallow', 'weak', 'rough', 'warm', 'brilliant']"
126,911,mine own true love that doth my rest defeat ,love|defeat,2,"('love', 'defeat')","['bitter', 'brilliant', 'clear', 'heavy', 'solid', 'deep', 'cold', 'strong', 'smooth', 'warm']"
127,916,sin of self love possesseth all mine eye,love|eye,2,"('love', 'eye')","['bitter', 'deep', 'strong', 'clear', 'solid', 'shallow', 'weak', 'rough', 'warm', 'brilliant']"
128,921,no shape so true  no truth of such account ,account|truth|shape,3,,
129,926,mine own self love quite contrary i read ,love|read,2,"('love', 'read')","['bitter', 'heated', 'brilliant', 'clean', 'bright', 'weak', 'shallow', 'clear', 'strong', 'heavy']"
130,932,with time s injurious hand crush d and o erworn ,hand|time,2,"('time', 'hand')","['strong', 'heavy', 'solid', 'bitter', 'clean', 'clear', 'brilliant', 'bright', 'heated', 'weak']"
131,942,my sweet love s beauty  though my lover s life ,love|life,2,"('love', 'life')","['bitter', 'weak', 'brilliant', 'rough', 'murky', 'strong', 'warm', 'solid', 'cold', 'heavy']"
132,946,when i have seen by time s fell hand defac d,hand|time,2,"('time', 'hand')","['strong', 'heavy', 'solid', 'bitter', 'clean', 'clear', 'brilliant', 'bright', 'heated', 'weak']"
133,952,and the firm soil win of the watery main ,win|soil,2,"('soil', 'win')","['brilliant', 'strong', 'bright', 'murky', 'rough', 'weak', 'bitter', 'shallow', 'soft', 'solid']"
134,957,that time will come and take my love away ,love|time,2,"('time', 'love')","['soft', 'strong', 'shallow', 'solid', 'bright', 'clean', 'clear', 'weak', 'murky', 'heavy']"
135,961,since brass  nor stone  nor earth  nor boundless sea ,stone|sea,2,"('stone', 'sea')","['solid', 'strong', 'heated', 'brilliant', 'cold', 'bitter', 'shallow', 'warm', 'clear', 'weak']"
136,964,whose action is no stronger than a flower ,flower|action,2,"('action', 'flower')","['murky', 'solid', 'cold', 'warm', 'weak', 'icy', 'clean', 'brilliant', 'strong', 'heavy']"
137,968,nor gates of steel so strong but time decays ,steel|time,2,"('steel', 'time')","['rough', 'brilliant', 'murky', 'weak', 'clear', 'cold', 'deep', 'bitter', 'shallow', 'clean']"
138,970,shall time s best jewel from time s chest lie hid ,time|lie,2,"('time', 'lie')","['soft', 'strong', 'bright', 'clear', 'weak', 'heavy', 'brilliant', 'bitter', 'murky', 'shallow']"
139,971,or what strong hand can hold his swift foot back ,hand|foot,2,"('hand', 'foot')","['shallow', 'rough', 'murky', 'weak', 'clean', 'smooth', 'icy', 'deep', 'warm', 'brilliant']"
140,974,    that in black ink my love may still shine bright ,love|shine,2,"('love', 'shine')","['bitter', 'clear', 'cold', 'brilliant', 'solid', 'weak', 'clean', 'shallow', 'rough', 'strong']"
141,976,tired with all these  for restful death i cry ,death|cry,2,"('death', 'cry')","['strong', 'bright', 'rough', 'shallow', 'cold', 'bitter', 'weak', 'clear', 'murky', 'heated']"
142,984,and art made tongue tied by authority ,art|authority,2,"('art', 'authority')","['soft', 'heavy', 'bright', 'rough', 'strong', 'brilliant', 'warm', 'sweet', 'fat', 'shallow']"
